TimeStamp,GroundSteering,Oracle,Good,Elapsed
1584543055746044,0.109233,0.0749791,0,12399978
1584543055843970,0.109566,0.0749791,0,12497904
1584543055944013,0.108785,0.0749791,0,12597947
1584543056044204,0.136534,0.0749791,0,12698138
1584543056143927,0.135954,0.0749791,0,12797861
1584543056246747,0.12871,0.0749791,0,12900681
1584543056344015,0.0694276,0.0749791,1,12997949
1584543056444101,0.096653,0.0749791,0,13098035
1584543056543580,0.106438,0.0749791,0,13197514
1584543056644395,0.118604,0.0689779,0,13298329
1584543056745816,0.0922584,0.0659773,0,13399750
1584543056843687,0.0891353,0.0569845,0,13497621
1584543056943993,0.0804517,0.0569845,0,13597927
1584543057043724,0.074069,0.0479916,0,13697658
1584543057143800,0.0661381,-0,0,13797734
1584543057245910,0.0647797,0.0209952,0,13899844
1584543057343574,0.0809788,0.0749791,1,13997508
1584543057443623,0.130818,0.0959743,0,14097557
1584543057543598,0.137177,0.098966,0,14197532
1584543057644296,0.128397,0.098966,0,14298230
1584543057745423,0.0861314,0.0959743,1,14399357
1584543057843503,0.0749992,0.101967,0,14497437
1584543057943932,0.116308,0.098966,1,14597866
1584543058043365,0.1533,0.0929737,0,14697299
1584543058143480,0.210075,0.0809714,0,14797414
1584543058245278,0.188419,0.0719785,0,14899212
1584543058343377,0.170726,0.0719785,0,14997311
1584543058443589,0.114115,0.0689779,0,15097523
1584543058543290,0.0861473,0.0719785,1,15197224
1584543058643988,0.0551792,0.0719785,1,15297922
1584543058745463,0.054544,-0,0,15399397
1584543058843376,-0.0067481,-0,0,15497310
1584543058943080,-0.00548507,-0,0,15597014
1584543059043247,-0.00443174,-0,0,15697181
1584543059143032,0.0197936,-0,0,15796966
1584543059244950,-0.0121552,-0.038981,0,15898884
1584543059345665,-0.102879,-0,0,15999599
1584543059443329,-0.106864,-0,0,16097263
1584543059543086,-0.112172,-0,0,16197020
1584543059643803,-0.0588335,-0,0,16297737
1584543059744844,-0.05734,-0,0,16398778
1584543059842905,0.0275162,-0,0,16496839
1584543059943052,0.122186,-0,0,16596986
1584543060042880,0.148999,-0,0,16696814
1584543060145438,0.117896,-0,0,16799372
1584543060248492,0.0245426,-0,0,16902426
1584543060342991,0.000147912,-0,0,16996925
1584543060442866,-0.0506885,-0,0,17096800
1584543060542938,-0.0461231,-0,0,17196872
1584543060643439,-0.0137348,-0,0,17297373
1584543060744676,0.0256576,-0,0,17398610
1584543060842894,0.055224,-0,0,17496828
1584543060942715,0.0550403,-0,0,17596649
1584543061042687,0.049697,-0,0,17696621
1584543061142864,0.0513442,-0,0,17796798
1584543061244565,0.0776513,-0,0,17898499
1584543061342628,0.0793708,-0,0,17996562
1584543061442777,0.10206,-0,0,18096711
